#;PSRJ;RAJ;DECJ;P0;S1400;
143;J1832-0827;18:32:37.0;-08:27:03.6;0.647293;2.10;
144;J1904+0004;19:04:12.7;+00:04:05.3;0.139525;2.10;
145;J2007+2722;20:07:15.8;+27:22:47.9;0.024497;2.10;
146;J2325+6316;23:25:13.3;+63:16:52.3;1.436310;2.10;
147;J0624-0424;06:24:20.0;-04:24:50.4;1.039076;2.00;
148;J0758-1528;07:58:29.0;-15:28:08.7;0.682265;2.00;
149;J1300+1240;13:00:03.5;+12:40:56.4;0.006219;2.00;
150;J1543-0620;15:43:30.1;-06:20:45.2;0.709064;2.00;
151;J1640+2224;16:40:16.7;+22:24:08.8;0.003163;2.00;
152;J1739-2903;17:39:34.2;-29:03:03.5;0.322882;2.00;
153;J1748-1300;17:48:17.4;-13:00:52.0;0.394133;2.00;
154;J1756-2435;17:56:57.9;-24:35:34;0.670480;2.00;
155;J1820-1346;18:20:19.7;-13:46:15.3;0.921460;2.00;
156;J1824-2452A;18:24:32.0;-24:52:10.8;0.003054;2.00;
157;J2150+5247;21:50:37.7;+52:47:49.6;0.332206;2.00;
158;J2225+6535;22:25:52.7;+65:35:35.5;0.682542;2.00;
159;J2346-0609;23:46:50.4;-06:09:59.5;1.181463;2.00;
160;J0157+6212;01:57:49.9;+62:12:25.9;2.351745;1.90;
161;J0357+5236;03:57:44.8;+52:36:57.7;0.197030;1.90;
162;J0538+2817;05:38:25.0;+28:17:09.1;0.143158;1.90;
163;J0621+1002;06:21:22.1;+10:02:38.7;0.028854;1.90;
164;J1806-1920;18:06:06.6;-19:20:23;0.879791;1.90;
165;J1835-1020;18:35:57.5;-10:20:04.8;0.302448;1.90;
166;J1909+1102;19:09:48.6;+11:02:03.3;0.283641;1.90;
167;J1917+1353;19:17:39.7;+13:53:56.9;0.194631;1.90;
168;J2308+5547;23:08:13.8;+55:47:36.0;0.475068;1.90;
169;J0627+0649;06:27:53.6;+06:49:54.1;0.346523;1.89;
170;J1801-2920;18:01:46.8;-29:20:38.6;1.081908;1.80;
171;J1808-0813;18:08:09.4;-08:13:01.8;0.876044;1.80;
172;J1827-0958;18:27:05.4;-09:58:43.1;0.245757;1.80;
173;J1836-0436;18:36:51.7;-04:36:37.6;0.354237;1.80;
174;J1905+0709;19:05:53.6;+07:09:19.4;0.648040;1.80;
175;J1907+4002;19:07:34.6;+40:02:05.7;1.235757;1.80;
176;J2004+3137;20:04:52.2;+31:37:10.0;2.111265;1.80;
177;J1850-0026;18:50:14.7;-00:26:11.6;0.166634;1.77;
178;J1603-2712;16:03:08.0;-27:13:27.6;0.778313;1.70;
179;J1735-0724;17:35:04.9;-07:24:52.4;0.419335;1.70;
180;J1823+0550;18:23:30.9;+05:50:24.3;0.752907;1.70;
181;J1841+0912;18:41:55.9;+09:12:07.3;0.381319;1.70;
182;J1843-0459;18:43:27.6;-04:59:30.4;0.754963;1.70;
183;J1906+0641;19:06:35.2;+06:41:02.9;0.267275;1.70;
184;J1921+1948;19:21:03.7;+19:48:44.7;0.821035;1.70;
185;J2046-0421;20:46:00.1;-04:21:26.0;1.546938;1.70;
186;J2046+1540;20:46:39.3;+15:40:33.6;1.138286;1.70;
187;J0525+1115;05:25:56.4;+11:15:19.0;0.354438;1.60;
188;J1623-2631;16:23:38.2;-26:31:53.7;0.011076;1.60;
189;J1650-1654;16:50:27.2;-16:54:40;1.749552;1.60;
190;J1727-2739;17:27:30.9;-27:39:00.5;1.293100;1.60;
191;J1754+5201;17:54:22.9;+52:01:12.3;2.391397;1.60;
192;J1845-0434;18:45:34.7;-04:34:29.8;0.486751;1.60;
193;J1853+0545;18:53:58.4;+05:45:55.2;0.126400;1.60;
194;J1857+0212;18:57:43.6;+02:12:41.1;0.415823;1.60;
195;J2010-1323;20:10:45.9;-13:23:56.0;0.005223;1.60;
196;J1747-2647;17:47:30.8;-26:47:14;0.500254;1.54;
197;J0055+5117;00:55:45.3;+51:17:24.9;2.115171;1.50;
198;J0152-1637;01:52:10.8;-16:37:52.9;0.832742;1.50;
199;J0823+0159;08:23:09.7;+01:59:12.4;0.864873;1.50;
200;J1024-0719;10:24:38.6;-07:19:19.3;0.005162;1.50;
201;J1844+1454;18:44:54.8;+14:54:14.1;0.375463;1.50;
202;J1910+0358;19:10:09.0;+03:58:28.0;2.330263;1.50;
203;J0729-1836;07:29:32.3;-18:36:42.7;0.510160;1.40;
204;J0943+1631;09:43:30.1;+16:31:37;1.087418;1.40;
205;J1741-0840;17:41:22.5;-08:40:31.8;2.043082;1.40;
206;J1812-2102;18:12:20.9;-21:02:36;1.223352;1.40;
207;J1827-0750;18:27:02.7;-07:50:19.2;0.270502;1.40;
208;J1830-1059;18:30:47.5;-10:59:27.9;0.405043;1.40;
209;J1839-0643;18:39:09.8;-06:43:45.2;0.449548;1.40;
210;J1840-0815;18:40:13.7;-08:15:10.6;1.096440;1.40;
211;J1841-0345;18:41:38.6;-03:48:42.6;0.204068;1.40;
212;J1849-0636;18:49:06.4;-06:37:06.9;1.451319;1.40;
213;J1852-2610;18:52:59.4;-26:10:12.7;0.336337;1.40;
214;J1922+2110;19:22:53.5;+21:10:41.9;1.077924;1.40;
215;J2337+6151;23:37:05.7;+61:51:01.5;0.495370;1.40;
216;J2027+4557;20:27:16.2;+45:57:57.0;1.099651;1.34;
217;J1810-2005;18:10:58.9;-20:05:08.2;0.032822;1.33;
218;J0151-0635;01:51:22.7;-06:35:02.8;1.464665;1.30;
219;J1759-2205;17:59:24.1;-22:05:33.0;0.460974;1.30;
220;J1759-2302;17:59:49.2;-23:02:08;0.810718;1.30;
221;J1811-1736;18:11:55.0;-17:36:37.7;0.104182;1.30;
222;J1824-1118;18:24:29.5;-11:18:42.6;0.435759;1.30;
223;J1832-1021;18:32:40.8;-10:21:32.7;0.330354;1.30;
224;J1835-0643;18:35:05.5;-06:43:06.4;0.305830;1.30;
225;J1903+0327;19:03:05.7;+03:27:19.2;0.002150;1.30;
226;J1915+1009;19:15:29.9;+10:09:43.6;0.404547;1.30;
227;J1926+1648;19:26:45.3;+16:48:32.7;0.579823;1.30;
228;J0102+6537;01:02:32.9;+65:37:13.4;1.679164;1.20;
229;J1257-1027;12:57:04.7;-10:27:05.8;0.617308;1.20;
230;J1816-1729;18:16:18.6;-17:29:02.7;0.782313;1.20;
231;J1828-0611;18:28:20.7;-06:11:51.5;0.269415;1.20;
232;J1831-1223;18:31:12.8;-12:23:31;2.857941;1.20;
233;J1840-0643;18:40:09.4;-06:43:47;0.035578;1.20;
234;J1902+0556;19:02:42.6;+05:56:25.9;0.746577;1.20;
235;J1913+1400;19:13:24.3;+14:00:52.7;0.521473;1.20;
236;J1916+1312;19:16:58.6;+13:12:50.0;0.281842;1.20;
237;J1932+2020;19:32:08.0;+20:20:46.4;0.268217;1.20;
238;J1932+2220;19:32:22.7;+22:20:51.5;0.144470;1.20;
239;J2002+3217;20:02:04.4;+32:17:18.3;0.696761;1.20;
240;J2302+4442;23:02:46.9;+44:42:22.0;0.005192;1.20;
241;J1922+1733;19:22:53.2;+17:33:23.4;0.236171;1.16;
242;J1652-2404;16:52:58.5;-24:03:51;1.703739;1.10;
243;J1720-1633;17:20:25.2;-16:33:33.7;1.565601;1.10;
244;J1723-2837;17:23:23.1;-28:37:57.1;0.001856;1.10;
245;J1741-2733;17:41:01.3;-27:33:51;0.892959;1.10;
246;J1757-2223;17:57:50.7;-22:23:49;0.185310;1.10;
247;J1806-2125;18:06:19.5;-21:25:40;0.481789;1.10;
248;J1807-2459A;18:07:20.3;-24:59:52.9;0.003059;1.10;
249;J1813+4013;18:13:13.2;+40:13:39.0;0.931089;1.10;
250;J1814-1649;18:14:37.3;-16:49:28;0.957464;1.10;
251;J1816-2650;18:16:35.4;-26:49:53;0.592885;1.10;
252;J1820-1818;18:20:39.0;-18:18:03.3;0.309905;1.10;
253;J1830-1135;18:30:01.7;-11:35:32;6.221553;1.10;
254;J1832-0836;18:32:27.5;-08:36:54.9;0.002719;1.10;
255;J1844-0433;18:44:33.4;-04:33:12.4;0.991027;1.10;
256;J1853+0505;18:53:04.3;+05:05:26.1;0.905137;1.10;
257;J1901+0413;19:01:10.3;+04:13:51;2.663080;1.10;
258;J1902+0615;19:02:50.2;+06:16:33.4;0.673503;1.10;
259;J1955+2908;19:55:27.8;+29:08:43.4;0.006133;1.10;
260;J2113+2754;21:13:04.3;+27:54:02.2;1.202852;1.10;
261;J1819-1114;18:19:28.7;-11:14:43;0.294163;1.07;
262;J1854+1050;18:54:29.3;+10:46:42;0.573197;1.03;

